ID_neurona,rata,sesion,mean_rate,std_rate,firing_rate,ISI_peak_time,ISI_index,ISI_ratio,CV,CV2,peak_time_ccg,potencia_tot,ancho_banda,frec_dominante,pot_frec_dominante,pot_rango_freq,AUC,AUC_depol,AUC_repol,AUC_asimetria,wf_invertida,asimetria,value_min,value_max_1,value_max_2,duracion,dur_1max_min,dur_2max_min,dur_1max_2max,pendiente_depol,pendiente_repol,proporcion_energia,clu_metric_error,tetrodo,type,calidad,estructura,estructura_fina,m_pre,m_post,DA,ISI_time,ID,peak_ratio,peak_amplitude,slope_ratio,power_ratio,AUC_tiempo_tot
514,15,12,,,,,,,,,,3462781.22,6388.3,2373,541.97,1155452.73,2430472.58,1.04,1.11,1.06,0,6.52497487897302,-0.500716440171452,5.33598852521194,0.045296614205787,0.6112179486224,0.28,1.94,2.21,-0.648522773931487,0.0086668738790038,16.62,1.0,3,SU,1,VTA,,21.68,10.76,2.0,,514,0.08578751935229294,-0.8284249612954142,0.503690036900369,0.0004688343294307492,2.1500000000000004
515,15,12,,,,,,,,,,3320092.84,6827.86,2176,486.19,1186022.8,2355327.21,1.11,1.17,1.06,0,6.13033715542597,-0.575498943453249,5.1449611056784,0.0525496429442467,0.581783590998704,0.4,1.97,2.37,-0.440035388394742,0.0098132591624608,12.47,1.0,3,SU,1,VTA,,19.46,27.47,2.0,,515,0.10060361203651938,-0.7987927759269611,-0.41161356628982526,0.00040976512112225966,2.2800000000000002
516,15,12,0.786235779977291,0.0,0.00029914432676,,,,,,,3875657.71,6505.36,2253,595.67,1341332.9,2742699.38,1.08,1.14,1.06,0,6.38714394012769,-0.837184930612143,6.19754499077766,0.0659449190551819,0.545766847960504,0.31,1.81,2.12,-0.703472992138978,0.0153072855875818,15.21,1.0,3,SU,1,VTA,,4.05,32.81,2.0,,516,0.11900740184304706,-0.761985196313906,-7.101234567901235,0.00044389098892201097,2.2199999999999998
517,15,12,0.425617494379714,0.385460561655801,0.0014957216338002,,,0.0,0.76,1.46,,3035302.46,6376.95,2253,475.91,899002.89,2133999.43,1.08,1.14,1.06,0,6.47728573712364,-1.0,5.89290438949093,0.0761845393579333,0.278802896388628,0.31,1.9,2.21,-0.68929043894909,0.0173578151509344,16.01,1.0,3,SU,1,VTA,,10.27,25.34,2.0,,517,0.14507672578842404,-0.709846548423152,-1.4673807205452776,0.0005290952938523954,2.2199999999999998
518,15,12,0.237789380612926,0.0,0.00029914432676,,,,,,,2733615.67,6441.53,3536,424.31,955945.28,1846322.95,1.01,1.04,1.03,0,6.80054909847406,-0.512381215416012,4.74140688865032,0.0439001846750932,0.516573614509132,0.31,1.78,2.09,-0.525378810406631,0.0095910586222604,22.6,1.0,3,SU,1,VTA,,0.33,3.08,2.0,,518,0.09752605268176666,-0.8049478946364669,-8.333333333333334,0.00044366739013523,2.05
527,15,12,0.354488043599664,0.318865485978532,0.0053845978816808,,,0.0,1.04,1.02,,3205204.13,8549.69,2214,374.85,1675531.32,2205568.39,1.2,1.44,1.21,0,-5.44363937151243,-1.0,0.0614901797912718,0.208047946539216,0.156888677821135,0.31,0.58,0.89,-0.106149017979127,0.0635814708704852,1.2,1.0,7,SU,2,SNc,,,,2.0,,527,0.8277817141817705,0.6555634283635409,,0.00022367003995217702,2.6399999999999997
528,15,12,0.817554038373594,0.192391055838264,1.34136316119205,58.0,2.44698726118414,0.0535355788534464,22.31,0.97,4.0,2145184.9,9187.12,1166,233.47,1171361.55,1681368.92,1.72,1.97,1.14,0,-2.95682867946321,-1.0,0.479740822049419,0.349334778353888,0.317536264604215,0.31,0.55,0.86,-0.147974082204942,0.0749630432418826,1.16,,7,SU,2,SNc,,4.63,0.4,1.0,58.0,528,0.6757940208846944,0.35158804176938885,0.9136069114470842,0.00019927534345443018,3.69
529,15,12,0.520693587143239,0.295922134849007,4.35464396464599,12.0,0.736511983972042,0.0037785105798296,1.04,0.94,18.8,1369172.08,9001.44,1166,152.09,743759.35,1056731.32,1.66,1.9,1.15,0,-2.94414674946251,-1.0,0.454321137909978,0.308001682277594,0.293260571232378,0.31,0.74,1.04,-0.145432113790998,0.0545000700948999,1.24,,7,SU,2,SNc,,3.18,6.08,3.0,18.8,529,0.6876060410131367,0.3752120820262734,-0.9119496855345912,0.00020444637872486543,3.5599999999999996
530,15,12,0.119815811810242,0.18699428264957,0.0188460925858829,88.0,,0.0,3.49,1.14,50.0,1200743.76,3948.2,1830,304.05,168522.38,907929.73,1.04,1.04,1.0,0,-1.85251766637015,-0.155472811261854,0.444406068081516,0.0126099119758587,0.24122880261715,0.31,0.74,1.04,-0.059987887934337,0.0070034468015713,5.47,,7,SU,2,SNc,,0.68,6.35,3.0,88.0,530,0.2591736709117601,-0.4816526581764798,-8.338235294117647,0.0018009620886966574,2.08
531,15,12,0.546971749533869,0.296266992590042,0.248289791210838,16.0,12.2058783321941,0.249698431845597,1.71,1.54,9.4,6000921.28,7545.97,839,795.14,3905612.1,5006049.8,2.03,2.55,1.26,0,1.11899052302614,-1.0,1.33461004136601,0.25264875045644,0.389428222454114,0.58,0.83,1.41,-0.122874212703474,0.0463943981650533,2.07,,8,SU,1,SNc,,0.09,0.07,2.0,16.0,531,0.42833705941523637,-0.14332588116952732,0.2222222222222221,0.00020354764650702418,4.58
